ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07850,106806,0.3633567662565905,2453.4674811354653,18.16,0.08757364756293519,Gap
07851,108419,0.16349809885931554,22.98750109256184,7.6,0,NA
07852,119539,0.28183321521379634,1171.278361925844,31.89,0.0107981220657277,NA
07853,175792,0.16184455790582708,379.35805201992247,32.34,0.001799738219895288,NA
07856,92466,0.21973188102220365,1390.6204485872415,23.25,0.007001166861143524,Gap
07857,85898,0.3513948497854077,3570.8812260536397,13.95,0,Non-Gap
07860,110045,0.15222482435597184,260.01497379585726,15.82,0.01048234552332913,Gap
07863,94167,0.12202147158942134,191.91919191919192,10.47,0.01796988829528897,NA
07865,108056,0.2191150442477876,170.80839228490234,24.42,0,NA
07866,131403,0.22561002515112738,985.0052155771906,29.43,0.01031706089582285,Gap
07869,169497,0.33083544692952116,1296.8851233491152,41.43,0.01734685975373654,Gap
07870,NA,0,36.7170626349892,29.41,0,NA
07871,167654,0.17082614171759103,562.429489702217,36.11,0.01016057334663885,Gap
07874,132500,0.21138025594149912,1034.3930977425837,16.45,0.006037000973709835,Gap
07876,161304,0.21180375479722025,1679.6167247386759,20.12,0.01099537037037037,NA
07878,116445,0.15796344647519578,8417.582417582418,37.86,0,NA
07880,NA,0,157.27272727272725,11.56,0,NA
07881,NA,0,0.43252595155709345,NA,NA,NA
07882,107567,0.2515382070790605,478.853160145731,16.21,0.03238261302777432,Gap
07885,100716,0.3733694731492462,803.8948658586409,24.48,0.0185934922777028,Gap
07901,179701,0.31599078720078966,3839.2546976156636,54.87,0.1679401856872895,Gap
07920,192857,0.3443466768685006,1058.1848962166937,67.58,0.045204776906733093,Gap
07921,123104,0.2762337662337663,418.8652559429908,35.97,0.01284109149277689,Gap
07922,202944,0.3024190241902419,2185.092277369647,58.71,0.1189481017067224,Non-Gap
07924,236042,0.13704135874497603,644.3609022556391,52.77,0.03851963746223565,Gap
07926,250001,0.5900621118012421,454.8022598870057,142.86,0,NA
07927,170400,0.29250307251126584,2278.114792347177,30.93,0.0115801270078446,Gap
07928,220982,0.2312506258135576,2157.951598962835,60.13,0.1414960026284087,Gap
07930,240954,0.08707215541165592,339.92374513580444,51.23,0.004378496716127463,NA
07931,201078,0.11122278056951429,135.97849854227405,80.4,0.02662929222144359,NA
07932,156458,0.30909242715204144,1777.266656774002,49.76,0.05856540084388186,Non-Gap
07933,NA,0.13388981636060104,565.4143855012271,46.74,0,NA
07934,245429,0.139984532095901,416.29104958145524,56.46,0.01598837209302326,NA
07935,106979,0.09931506849315064,223.84055193560752,58.22,0,NA
07936,149583,0.27376255380200865,1416.126984126984,54.97,0.01969178082191781,Gap
07939,NA,0.3354037267080745,2385.185185185185,3.11,NA,NA
07940,172708,0.2554798409994321,3584.368003256666,42.48,0.07740879326473339,Non-Gap
07945,250001,0.18699690402476776,497.4077306093116,57.28,0.04492992580379225,Gap
07946,208587,0.1777330650570087,731.5996074582926,46.95,0.04070175438596491,NA
07950,153762,0.3728234261696919,2376.0974539069357,46.05,0.03279397767586744,Gap
07960,160334,0.3230268510984541,1349.1449040905939,41.07,0.03894707498705746,Gap
07961,NA,0.5225225225225225,1958.8235294117646,9.01,0,NA
07970,250001,0.06511627906976747,811.3207547169811,9.3,0,NA
07974,172894,0.29245636377256723,3363.31569664903,46.3,0.09934771700953336,Non-Gap
07976,247697,0.12596401028277637,112.20074992789155,231.36,0.1412429378531073,NA
07977,150875,0.19411123227917126,464.77445514445003,52.34,0,NA
07979,NA,0.08411214953271029,241.53498871331828,84.11,0.04142011834319527,Non-Gap
07980,162955,0.1753271028037383,1130.6001690617074,28.79,0.03300561797752809,NA
07981,149893,0.3067552602436323,1498.009289980093,43.96,0.01297071129707113,Non-Gap
08001,134583,0.10070257611241218,256.99668973818837,12.88,0,NA
08002,100951,0.3618988132417239,3331.2526009155226,60.71,0.03755009583551142,Non-Gap
08003,155059,0.29560816121223554,2894.3585077343037,48.23,0.0436961830098959,Gap
08004,111738,0.26047773208504676,443.70680953490177,11.72,0.002793296089385475,Gap
08005,93584,0.12867564951983923,501.87741682389645,17.2,0.003267692836873334,Gap
08006,125417,0.18600000000000005,601.684717208183,56,0.1,NA
08007,99565,0.11925419974155438,4030.5059523809523,14.21,0.00899400399733511,NA
08008,120054,0.0757642240748867,632.5284485151263,42.12,0.01631442343344457,Gap
08009,101184,0.33584274362191546,867.5616835994193,19.94,0.02722005120603692,NA
08010,88037,0.4711238512772954,3268.3934968310828,11.72,0.04333786539768865,Gap
08011,NA,0,240.34334763948496,NA,0,NA
08012,95451,0.29070601741126945,2787.095053992801,13.27,0.02967520130281372,Gap
08014,NA,0,82.41150442477876,36.91,0,NA
08015,80889,0.3801298103950529,347.9381901595035,8.02,0,NA
08016,98463,0.5502290950744559,1614.5737007582763,19.85,0.03475789703792764,Non-Gap
08019,172500,0.2690187431091511,8.062938927904703,13.23,0,NA
08020,134490,0.1459677419354839,544.8154657293497,32.26,0.008888888888888889,NA
08021,68044,0.5526011560693642,3802.930967990744,8.84,0.03310479126942269,NA
08022,117679,0.29644570431748796,431.60321867206244,34.02,0.03862104717470192,NA
08023,65944,0,443.7869822485207,2.67,0,NA
08026,100313,0.20616016427104722,1131.5055762081784,19.71,0.04849660523763336,NA
08027,92128,0.1749598715890851,665.6871911312942,7.83,0.02122854561878952,NA
08028,89130,0.3623396286556698,1730.5385092739434,12.87,0.02452572209878653,Gap
08029,98184,0.16083531782377725,5078.139534883721,13.92,0.0170975813177648,Gap
08030,63384,0.3224634939850193,4722.043586995355,6.96,0.008846487424111016,Gap
08031,76654,0.2899378035273068,3933.3109919571048,11.16,0.01026016855991206,Non-Gap
08032,198274,0.03305785123966942,1180.4878048780488,20.66,0.02116402116402116,NA
08033,151181,0.11968698981027981,4506.088280060882,43.4,0.08833314213605599,NA
08034,114012,0.32500837280512895,3537.7454299255246,24.59,0.04580651180147402,Gap
08035,131528,0.09045159581512385,4791.243654822335,23.57,0.0440818314661471,NA
08036,142899,0.3292662819455895,941.916446653207,33.31,0.03724569640062598,Non-Gap
08037,81312,0.23790082504040144,191.98393193935286,13.1,0.006314839873703203,Gap
08038,90179,0.08262108262108259,20.148097124160497,2.85,0,Gap
08039,NA,0,70.37037037037037,NA,0,NA
08041,99688,0.18461538461538463,56.94261936049059,24.62,0,NA
08042,170912,0,153.21637426900585,7.63,0,NA
08043,105473,0.3560321887724023,2719.11777525935,40.49,0.03351358568662795,Gap
08045,71607,0.9346875,2293.9068100358422,15,0.1194331983805668,Gap
08046,98178,0.8895906944748444,4209.133982627007,12.91,0.03574569669556477,Gap
08048,113440,0.3111318118304611,1062.257771913911,25.54,0.01248366961823196,Gap
