State,County,ZIP,Average of Latitude,Average of Longitude,EVs on the Road,EVs per 1k People,EVs per Level 2 Port,Current Population
New Jersey,Morris County,7976,40.73,-74.48,90,231.36,,389
New Jersey,Somerset County,7977,40.71,-74.65,48,52.34,,917
New Jersey,Somerset County,7978,40.66,-74.68,1,0,,
New Jersey,Hunterdon County,7979,40.7,-74.72,18,84.11,9,214
New Jersey,Morris County,7980,40.68,-74.49,77,28.79,,"2,675"
New Jersey,Morris County,7981,40.82,-74.41,397,43.96,39.7,"9,030"
New Jersey,Morris County,7983,40.82,-74.41,,,,
New Jersey,Morris County,7999,40.82,-74.41,,,,
New Jersey,Salem County,8001,39.56,-75.34,11,12.88,,854
New Jersey,Camden County,8002,39.93,-75.03,"1,458",60.71,76.74,"24,015"
New Jersey,Camden County,8003,39.88,-74.97,"1,534",48.23,383.5,"31,809"
New Jersey,Camden County,8004,39.76,-74.85,134,11.72,67,"11,429"
New Jersey,Ocean County,8005,39.75,-74.22,462,17.2,,"26,866"
New Jersey,Ocean County,8006,39.75,-74.11,28,56,,500
New Jersey,Camden County,8007,39.87,-75.05,77,14.21,,"5,417"
New Jersey,Ocean County,8008,39.54,-74.3,288,42.12,22.15,"6,837"
New Jersey,Camden County,8009,39.79,-74.93,286,19.94,,"14,346"
New Jersey,Burlington County,8010,40.06,-74.92,139,11.72,11.58,"11,861"
New Jersey,Burlington County,8011,39.98,-74.71,,,,56
New Jersey,Camden County,8012,39.79,-75.06,555,13.27,26.43,"41,812"
New Jersey,Gloucester County,8014,39.8,-75.34,11,36.91,,298
New Jersey,Burlington County,8015,39.95,-74.55,157,8.02,,"19,567"
New Jersey,Burlington County,8016,40.07,-74.85,693,19.85,21,"34,920"
New Jersey,Camden County,8018,39.72,-74.9,2,0,,
New Jersey,Burlington County,8019,39.78,-74.53,12,13.23,,907
New Jersey,Gloucester County,8020,39.8,-75.22,80,32.26,,"2,480"
New Jersey,Camden County,8021,39.8,-74.98,436,8.84,,"49,305"
New Jersey,Burlington County,8022,40.06,-74.68,312,34.02,,"9,172"
New Jersey,Salem County,8023,39.69,-75.5,1,2.67,,375
New Jersey,Gloucester County,8025,39.71,-75.23,1,0,,
New Jersey,Camden County,8026,39.83,-74.96,48,19.71,,"2,435"
New Jersey,Gloucester County,8027,39.82,-75.27,39,7.83,,"4,984"
New Jersey,Gloucester County,8028,39.7,-75.11,323,12.87,7.69,"25,098"
New Jersey,Camden County,8029,39.84,-75.06,76,13.92,38,"5,459"
New Jersey,Camden County,8030,39.89,-75.11,92,6.96,,"13,217"
New Jersey,Camden County,8031,39.86,-75.09,131,11.16,43.67,"11,737"
New Jersey,Gloucester County,8032,39.78,-75.06,5,20.66,,242
New Jersey,Camden County,8033,39.89,-75.03,771,43.4,,"17,763"
New Jersey,Camden County,8034,39.9,-74.99,514,24.59,85.67,"20,901"
New Jersey,Camden County,8035,39.88,-75.07,178,23.57,,"7,551"
New Jersey,Burlington County,8036,39.98,-74.82,202,33.31,11.22,"6,065"
New Jersey,Atlantic County,8037,39.65,-74.77,308,13.1,154,"23,514"
New Jersey,Salem County,8038,39.47,-75.45,1,2.85,0.07,351
New Jersey,Gloucester County,8039,39.69,-75.28,,,,38
New Jersey,Burlington County,8041,40.03,-74.68,16,24.62,,650
New Jersey,Burlington County,8042,40.02,-74.66,1,7.63,,131
New Jersey,Camden County,8043,39.84,-74.95,"1,263",40.49,63.15,"31,191"
New Jersey,Camden County,8045,39.87,-75.03,48,15,,"3,200"
New Jersey,Burlington County,8046,40.02,-74.88,413,12.91,103.25,"31,981"
New Jersey,Burlington County,8048,39.96,-74.8,329,25.54,82.25,"12,882"
New Jersey,Camden County,8049,39.85,-75.03,53,10.03,,"5,282"
New Jersey,Ocean County,8050,39.69,-74.25,561,20,80.14,"28,053"
New Jersey,Gloucester County,8051,39.79,-75.18,129,10.34,64.5,"12,474"
New Jersey,Burlington County,8052,39.95,-74.99,271,13.46,135.5,"20,127"
New Jersey,Burlington County,8053,39.9,-74.92,"1,368",28.39,152,"48,179"
New Jersey,Burlington County,8054,39.94,-74.9,"1,584",34.42,121.85,"46,026"
New Jersey,Burlington County,8055,39.86,-74.82,"1,033",35.49,258.25,"29,109"
New Jersey,Gloucester County,8056,39.78,-75.25,178,32.76,,"5,434"
New Jersey,Burlington County,8057,39.97,-74.94,"1,224",56.85,,"21,529"
New Jersey,Camden County,8059,39.88,-75.09,65,11.2,,"5,805"
New Jersey,Burlington County,8060,39.99,-74.78,565,21.87,51.36,"25,835"
New Jersey,Gloucester County,8061,39.8,-75.21,99,21.96,,"4,508"
New Jersey,Gloucester County,8062,39.73,-75.22,562,31.34,93.67,"17,935"
New Jersey,Gloucester County,8063,39.86,-75.18,32,10.49,,"3,051"
New Jersey,Burlington County,8064,39.94,-74.62,5,294.12,,17
New Jersey,Burlington County,8065,40,-75.03,84,11.22,,"7,485"
New Jersey,Gloucester County,8066,39.83,-75.24,51,6.57,,"7,760"
New Jersey,Salem County,8067,39.73,-75.4,42,24.55,42,"1,711"
New Jersey,Burlington County,8068,39.97,-74.68,78,11.79,,"6,613"
New Jersey,Salem County,8069,39.72,-75.46,97,7.23,48.5,"13,413"
New Jersey,Salem County,8070,39.65,-75.51,105,8.39,52.5,"12,511"
New Jersey,Gloucester County,8071,39.73,-75.13,154,16.28,15.4,"9,461"
New Jersey,Salem County,8072,39.54,-75.41,1,6.1,,164
New Jersey,Burlington County,8073,40.01,-74.87,3,150,,20
New Jersey,Gloucester County,8074,39.72,-75.16,1,6.25,,160
New Jersey,Burlington County,8075,40.03,-74.95,435,14.21,108.75,"30,615"
New Jersey,Burlington County,8076,40.01,-75.01,,,,
New Jersey,Burlington County,8077,40.01,-75.01,430,20.86,71.67,"20,613"
New Jersey,Camden County,8078,39.85,-75.07,72,8.94,36,"8,051"
New Jersey,Salem County,8079,39.56,-75.47,67,6.23,33.5,"10,762"
New Jersey,Gloucester County,8080,39.75,-75.09,876,22.96,54.75,"38,159"
New Jersey,Camden County,8081,39.73,-74.98,958,19.06,159.67,"50,264"
New Jersey,Camden County,8083,39.84,-75.02,146,15.2,,"9,606"
New Jersey,Camden County,8084,39.83,-75.02,74,10.54,37,"7,018"
New Jersey,Gloucester County,8085,39.74,-75.31,634,28.38,317,"22,340"
New Jersey,Gloucester County,8086,39.85,-75.18,134,14.89,,"9,001"
New Jersey,Ocean County,8087,39.59,-74.32,356,14.05,59.33,"25,342"
New Jersey,Burlington County,8088,39.8,-74.62,414,17.1,103.5,"24,215"
New Jersey,Camden County,8089,39.71,-74.81,40,9.45,,"4,231"
New Jersey,Gloucester County,8090,39.79,-75.14,150,15.28,,"9,815"
New Jersey,Camden County,8091,39.81,-74.92,110,18.45,,"5,963"
New Jersey,Ocean County,8092,39.65,-74.28,64,20.52,12.8,"3,119"
New Jersey,Gloucester County,8093,39.86,-75.13,95,10.07,,"9,438"
New Jersey,Gloucester County,8094,39.68,-74.98,694,16.68,,"41,595"
New Jersey,Camden County,8095,39.65,-74.86,1,0,,0
New Jersey,Gloucester County,8096,39.83,-75.15,519,14.69,47.18,"35,336"
New Jersey,Gloucester County,8097,39.81,-75.15,47,15.35,,"3,062"
New Jersey,Salem County,8098,39.65,-75.32,118,12.19,59,"9,680"
New Jersey,Camden County,8099,39.86,-75.09,9,0,,
New Jersey,Camden County,8101,39.93,-75.1,12,0,,
New Jersey,Camden County,8102,39.95,-75.12,60,7.24,15,"8,292"
New Jersey,Camden County,8103,39.94,-75.11,78,6.2,,"12,573"
New Jersey,Camden County,8104,39.92,-75.11,44,1.99,22,"22,148"
New Jersey,Camden County,8105,39.95,-75.09,94,3.55,,"26,483"
New Jersey,Camden County,8106,39.89,-75.07,153,15.72,,"9,731"
New Jersey,Camden County,8107,39.9,-75.08,208,15.32,,"13,574"
New Jersey,Camden County,8108,39.91,-75.07,494,26.48,123.5,"18,654"
New Jersey,Camden County,8109,39.95,-75.05,348,14.49,58,"24,022"
New Jersey,Camden County,8110,39.97,-75.06,226,11.8,56.5,"19,158"
New Jersey,Atlantic County,8201,39.42,-74.49,127,12.2,31.75,"10,412"
New Jersey,Cape May County,8202,39.09,-74.73,74,45.91,24.67,"1,612"
New Jersey,Atlantic County,8203,39.41,-74.36,145,18.89,36.25,"7,674"
New Jersey,Cape May County,8204,38.94,-74.9,218,13.15,7.52,"16,573"
New Jersey,Atlantic County,8205,39.48,-74.47,437,15.13,28.19,"28,877"
New Jersey,Cape May County,8210,39.07,-74.82,247,14.41,,"17,143"
New Jersey,Cape May County,8212,38.93,-74.96,11,79.71,,138
New Jersey,Atlantic County,8213,39.51,-74.56,2,0,,
New Jersey,Cape May County,8214,39.22,-74.85,5,0,,
New Jersey,Atlantic County,8215,39.56,-74.59,162,11.96,27,"13,545"
New Jersey,Atlantic County,8217,39.58,-74.72,,,,44
New Jersey,Cape May County,8218,39.11,-74.86,,,,
New Jersey,Cape May County,8219,39.04,-74.91,1,0,,
New Jersey,Atlantic County,8220,39.49,-74.43,1,0,,
New Jersey,Atlantic County,8221,39.34,-74.57,237,33.9,,"6,992"
New Jersey,Cape May County,8223,39.26,-74.66,76,18.77,,"4,048"
New Jersey,Burlington County,8224,39.6,-74.47,2,8.97,,223
New Jersey,Atlantic County,8225,39.37,-74.55,166,19.63,,"8,456"
New Jersey,Cape May County,8226,39.26,-74.6,273,24.24,68.25,"11,261"
New Jersey,Cape May County,8230,39.2,-74.71,85,14.91,,"5,700"
New Jersey,Atlantic County,8231,39.48,-74.47,1,0,,
New Jersey,Atlantic County,8232,39.39,-74.51,114,5.73,,"19,887"
New Jersey,Atlantic County,8234,39.41,-74.58,970,20.49,107.78,"47,339"
