ZIP,Total Population,ALAND_SQMI,popdensity
08345,825,28.525,28.921998247151624
08346,283,2.439,116.03116031160312
08348,154,1.832,84.06113537117903
08349,2441,34.539,70.67373114450331
08350,639,3.244,196.9790382244143
08352,112,0.273,410.2564102564102
08353,228,1.203,189.52618453865335
08360,45038,44.349,1015.5358632663646
08361,18206,30.325,600.3627370156637
08401,38925,10.676,3646.028475084301
08402,5234,1.419,3688.5130373502466
08403,1046,2.107,496.44043663977214
08406,8972,1.975,4542.784810126582
08501,6364,27.208,233.90179359012058
08502,11849,13.232,895.4806529625151
08505,19142,22.488,851.2095339736749
08510,5386,17.739,303.62478155476634
08511,976,2.386,409.05280804694047
08512,12928,22.805,566.8932251699189
08514,4917,27.347,179.80034373057373
08515,8373,21.17,395.5125177137458
08518,6508,1.919,3391.3496612819176
08520,29504,18.038,1635.6580552167645
08525,4522,22.392,201.94712397284746
08527,58991,85.423,690.5751378434379
08528,321,0.945,339.6825396825397
08530,8119,27.114,299.4394039979346
08533,7563,54.921,137.7068880755995
08534,13272,21.788,609.1426473288049
08535,4999,18.71,267.1833244254409
08536,20817,7.532,2763.807753584705
08540,50388,51.717,974.302453738616
